seed_id,source_dataset,source_corpus,original_requirement,capability_text_auto,auto_include,auto_exclusion_reason,include,exclusion_reason,capability_text_final
S21881,mlm_tapt,2019_jpss_dps,"The ATMS TDR product shall provide antenna temperatures calibrated from ATMS RDRs, for all ATMS earth scene measurements, at the refresh rates of the instrument.","provide antenna temperatures calibrated from ATMS RDRs, for all ATMS earth scene measurements, at the refresh rates of the instrument",yes,,yes,,"provide antenna temperatures calibrated from ATMS RDRs, for all ATMS earth scene measurements, at the refresh rates of the instrument"
S21919,mlm_tapt,2012_stequest_mrd_web,Mode changes through telecommand shall be possible.,be possible,yes,,yes,,enable mode changes through telecommand
S21996,mlm_tapt,2019_jpss_l1rds_web,"In a missed pass scenario, data shall be recovered on subsequent passes.",be recovered on subsequent passes,yes,,yes,,recover data on subsequent passes in a missed pass scenario
S22774,mlm_tapt,2007_jwst_mrd_web,The command uplink shall be SBand.,be SBand,yes,,yes,,use S-Band for the command uplink
S22824,mlm_tapt,2008_earthcare_web,CPR shall generate instrument science data packets for transmission to ground within CCSDS packets via the satellite science data subsystem.,generate instrument science data packets for transmission to ground within CCSDS packets via the satellite science data subsystem,yes,,yes,,generate instrument science data packets for transmission to ground within CCSDS packets via the satellite science data subsystem
S22836,mlm_tapt,2021_gmt_ord_web,The GMT shall provide an internal communications system.,provide an internal communications system,yes,,yes,,provide an internal communications system
S23122,mlm_tapt,2016_teser_web,The TCS subsystem shall be scalable to account for removing different S/C.,be scalable to account for removing different S/C,yes,,yes,,provide a TCS subsystem that is scalable to account for removing different S/C
S23124,mlm_tapt,2021_gmt_oad_web,All standardized software user interfaces shall be accessible from remote workstations by users with the appropriate access credentials.,be accessible from remote workstations by users with the appropriate access credentials,yes,,yes,,make all standardized software user interfaces accessible from remote workstations to users with appropriate access credentials
S23316,mlm_tapt,2015_skal0_WEB,SKA1-LOW shall provide timing accuracy of at least 10 nsec over a 10 year time year interval to enable precision pulsar timing at 150  350 MHz (HPSO 5).,provide timing accuracy of at least 10 nsec over a 10 year time year interval to enable precision pulsar timing at 150  350 MHz (HPSO 5),yes,,yes,,provide timing accuracy of at least 10 nsec over a 10 year time year interval to enable precision pulsar timing at 150  350 MHz (HPSO 5)
S23342,mlm_tapt,2005_skal1_WEB,"SKA1_Mid shall be able to change the pointing, centre frequency, and bandwidth of the individual tied-array beams within a single observing schedule.","change the pointing, centre frequency, and bandwidth of the individual tied-array beams within a single observing schedule",yes,,yes,,"change the pointing, centre frequency, and bandwidth of the individual tied-array beams within a single observing schedule"
S23665,mlm_tapt,2021_tmt_srd_WEB,"The site shall have high altitude (transparency, low water vapor, low temperature, smaller atmosphere dispersion).","have high altitude (transparency, low water vapor, low temperature, smaller atmosphere dispersion)",yes,,yes,,"use a site with high altitude (transparency, low water vapor, low temperature, smaller atmosphere dispersion)"
S23937,mlm_tapt,2006_hgs_ird_web,The HCSS shall pull the telecommand history data from the RTA.,pull the telecommand history data from the RTA,yes,,yes,,pull the telecommand history data from the RTA
S24011,mlm_tapt,spacebert_ecss,The position margin that the position-based scheduling subservice uses shall be declared when specifying that subservice.,be declared when specifying that subservice,yes,,yes,,declare the position margin used by the position-based scheduling subservice when that subservice is specified
S24695,mlm_tapt,2019_jpss_dps,"The Sea Ice Concentration product shall provide sea ice concentration, globally over ocean, day and night, at the refresh rates of the instrument.","provide sea ice concentration, globally over ocean, day and night, at the refresh rates of the instrument",yes,,yes,,"provide sea ice concentration, globally over ocean, day and night, at the refresh rates of the instrument"
S24925,mlm_tapt,2012_d51_web,During SICCI system development an observation report management system shall be employed to track all observation reports during software implementation,be employed to track all observation reports during software implementation,yes,,yes,,employ an observation report management system during SICCI system development to track all observation reports during software implementation
S24963,mlm_tapt,2019_jpss_dps,"The Land Surface Emissivity product shall provide microwave land surface emissivity, globally, in clear and cloudy conditions, at the refresh rate of the instrument.","provide microwave land surface emissivity, globally, in clear and cloudy conditions, at the refresh rate of the instrument",yes,,yes,,"provide microwave land surface emissivity, globally, in clear and cloudy conditions, at the refresh rate of the instrument"
S24989,mlm_tapt,2019_jpss_dps,"The Soil Moisture product shall provide soil moisture in the skin layer, globally, in daytime and night, under all weather conditions, at the refresh rates of the instrument.","provide soil moisture in the skin layer, globally, in daytime and night, under all weather conditions, at the refresh rates of the instrument",yes,,yes,,"provide soil moisture in the skin layer, globally, in daytime and night, under all weather conditions, at the refresh rates of the instrument"
S25179,mlm_tapt,2019_jpss_l1rds_web,"S-NPP and JPSS-n satellite operational outages, excluding on-orbit failures, shall be less than 2 hours over any 30-day period for the mission lifetime.",be less than 2 hours over any 30-day period for the mission lifetime,yes,,yes,,"limit S-NPP and JPSS-n satellite operational outages, excluding on-orbit failures, to less than 2 hours over any 30-day period for the mission lifetime"
S25352,mlm_tapt,2011_dot_WEB,The Core System shall notify an authorized System Operator within 30 seconds upon a failure.,notify an authorized System Operator within 30 seconds upon a failure,yes,,yes,,notify an authorized System Operator within 30 seconds upon a failure
S25560,mlm_tapt,2008_earthcare_web,"Information on the most recent down-linked packet (Packet APID, SSC and time) shall be available in the housekeeping telemetry.",be available in the housekeeping telemetry,yes,,yes,,"make information on the most recent down-linked packet (Packet APID, SSC and time) available in the housekeeping telemetry"
S25638,mlm_tapt,2009_gg_WEB,"The GG system shall perform systematic checks on the data validity and quality,","perform systematic checks on the data validity and quality,",yes,,yes,,perform systematic checks on the data validity and quality
S25793,mlm_tapt,2003_hp_ird_web,A telemetry packet for successful command acceptance shall be generated by the receiving application for every telecommand packet properly received and containing valid data.,be generated by the receiving application for every telecommand packet properly received and containing valid data,yes,,yes,,have the receiving application generate a telemetry packet for successful command acceptance for every telecommand packet that is properly received and contains valid data
S25963,mlm_tapt,2013_echo_mrd_WEB,"During the commissioning phase, check-out of the spacecraft functions and verification of all subsystems performances shall be performed.",be performed,yes,,yes,,perform check-out of the spacecraft functions and verify the performance of all subsystems during the commissioning phase
S26038,mlm_tapt,2013_loft_mrd_web,The magnetic field strength at the WFM location shall be lower than 4 Gauss.,be lower than 4 Gauss,yes,,yes,,keep the magnetic field strength at the WFM location lower than 4 Gauss
S26210,mlm_tapt,2011_marcopolo_srd_WEB,A shape model of the NEA shall be obtained with an accuracy of typically 1 m in height and spatial resolution with respect to the centre of mass.,be obtained with an accuracy of typically 1 m in height and spatial resolution with respect to the centre of mass,yes,,yes,,obtain a shape model of the NEA with an accuracy of typically 1 m in height and spatial resolution with respect to the centre of mass
S26441,mlm_tapt,2018_jpss_l0_web,The algorithm shall produce the cloud liquid water product under all-weather conditions.,produce the cloud liquid water product under all-weather conditions,yes,,yes,,produce the cloud liquid water product under all-weather conditions
S26449,mlm_tapt,2003_hp_ird_web,"It shall be possible to modify the on-board software, either by modifying the image on non-volatile memory or by patching the image in working memory, while the unit affected is operational.","be possible to modify the on-board software, either by modifying the image on non-volatile memory or by patching the image in working memory, while the unit affected is operational",yes,,yes,,support modification of the on-board software by modifying the image on non-volatile memory or patching the image in working memory while the affected unit is operational
S26653,mlm_tapt,2019_jpss_dps,The Vegetation Health Index Suite product shall provide geolocation of horizontal cell centers with a 3-sigma mapping uncertainty of 4 kilometers.,provide geolocation of horizontal cell centers with a 3-sigma mapping uncertainty of 4 kilometers,yes,,yes,,provide geolocation of horizontal cell centers with a 3-sigma mapping uncertainty of 4 kilometers
S27099,mlm_tapt,2021_tmt_oad_WEB,The elevation structure shall include locking devices that prevent motion during servicing operations when the telescope is zenith pointing or horizon pointing.,include locking devices that prevent motion during servicing operations when the telescope is zenith pointing or horizon pointing,yes,,yes,,include locking devices that prevent motion during servicing operations when the telescope is zenith pointing or horizon pointing
S27166,mlm_tapt,2013_loft_mrd_web,"The S/C shall support replacement of the on-board software, either partially or totally, with software up-linked from the ground.","support replacement of the on-board software, either partially or totally, with software up-linked from the ground",yes,,yes,,"support replacement of the on-board software, either partially or totally, with software up-linked from the ground"
S27182,mlm_tapt,2021_gmt_oad_web,The OCS shall provide visualization to support assessment of runtime observing conditions.,provide visualization to support assessment of runtime observing conditions,yes,,yes,,provide visualization to support assessment of runtime observing conditions
S27528,mlm_tapt,2021_gmt_ord_web,The GMT shall support the Queue mode of science operations.,support the Queue mode of science operations,yes,,yes,,support the Queue mode of science operations
S28068,mlm_tapt,2009_gg_WEB,"Total mass budget in launch configuration shall be compliant with the launcher capability, referred to selected orbit.","be compliant with the launcher capability, referred to selected orbit",yes,,yes,,maintain the total mass budget in launch configuration within the launcher capability for the selected orbit
S28235,mlm_tapt,2007_jwst_mrd_web,The Ground Segment shall provide a minimum of 4 hours of contact time per day with the Observatory.,provide a minimum of 4 hours of contact time per day with the Observatory,yes,,yes,,provide a minimum of 4 hours of contact time per day with the Observatory
S29179,mlm_tapt,2004_hp_srs_web,All software codes shall be dynamically analysed by a standard tool.,be dynamically analysed by a standard tool,yes,,yes,,dynamically analyse all software code with a standard tool
S29664,mlm_tapt,0000_mss_WEB,"The unit shall provide adjustable rotation speed from 0,2°/s to 30°/s in the azimuth and from 0,2°/s to 15°/s in the vertical","provide adjustable rotation speed from 0,2°/s to 30°/s in the azimuth and from 0,2°/s to 15°/s in the vertical",yes,,yes,,"provide adjustable rotation speed from 0,2°/s to 30°/s in the azimuth and from 0,2°/s to 15°/s in the vertical"
S29819,mlm_tapt,2021_gmt_ord_web,The Observatory shall provide controls to prevent unsafe interactions between Observatory subsystems.,provide controls to prevent unsafe interactions between Observatory subsystems,yes,,yes,,provide controls to prevent unsafe interactions between Observatory subsystems
S29953,mlm_tapt,1998_grace_WEB,The IPU shall output attitude measurements in the form of quaternions for use by the AOCS at a 1 Hz rate.,output attitude measurements in the form of quaternions for use by the AOCS at a 1 Hz rate,yes,,yes,,output attitude measurements in the form of quaternions for use by the AOCS at a 1 Hz rate
S30175,mlm_tapt,2012_d51_web,Any non-registered user shall be able to access all areas of the SICCI portal other than for the downloading of SICCI products.,access all areas of the SICCI portal other than for the downloading of SICCI products,yes,,yes,,allow non-registered users to access all areas of the SICCI portal except those used for downloading SICCI products
S30281,mlm_tapt,2007_jwst_mrd_web,The command uplink shall be at 250 bps.,be at 250 bps,yes,,yes,,provide a command uplink at 250 bps
S30582,mlm_tapt,2021_tmt_oad_WEB,An engineering workshop and optical lab shall be provided adjacent to the enclosure.,be provided adjacent to the enclosure,yes,,yes,,provide an engineering workshop and optical lab adjacent to the enclosure
S30981,mlm_tapt,2019_gateway_WEB,The Gateway shall distribute primary power using two bi-directional power domains to each axial docking port.,distribute primary power using two bi-directional power domains to each axial docking port,yes,,yes,,distribute primary power using two bi-directional power domains to each axial docking port
S31553,mlm_tapt,2017_s45_mrtd_web,The performance requirements shall be met for SZAs smaller than 80o.,be met for SZAs smaller than 80o,yes,,yes,,meet the performance requirements for SZAs smaller than 80 degrees
S31586,mlm_tapt,2005_wise_mos_WEB,The MOS shall determine the ephemeris for the WISE Flight-system.,determine the ephemeris for the WISE Flight-system,yes,,yes,,determine the ephemeris for the WISE Flight-system
S31823,mlm_tapt,2012_d51_web,The SIT sub-system shall manage a metadata catalogue of SIT products generated by the ECV processing chain,manage a metadata catalogue of SIT products generated by the ECV processing chain,yes,,yes,,manage a metadata catalogue of SIT products generated by the ECV processing chain
S32187,mlm_tapt,spacebert_ecss,"The supplier shall calculate the results for TML, RML and CVCM (theoretically all zero) as for a normal VCM-test.","calculate the results for TML, RML and CVCM (theoretically all zero) as for a normal VCM-test",yes,,yes,,"calculate the results for TML, RML and CVCM (theoretically all zero) as for a normal VCM-test"
S32448,mlm_tapt,2004_hp_srs_web,The spacecraft design shall support real time housekeeping data (spacecraft and payload),support real time housekeeping data (spacecraft and payload),yes,,yes,,support real time housekeeping data (spacecraft and payload)
S32545,mlm_tapt,2016_teser_web,The PMD module structures shall withstand loads in all mission phases as defined in [AD2],withstand loads in all mission phases as defined in [AD2],yes,,yes,,withstand loads in all mission phases as defined in [AD2]
S32776,mlm_tapt,2019_gateway_WEB,"The Gateway shall collect, contain, and dispose of crew bodily wastes.","collect, contain, and dispose of crew bodily wastes",yes,,yes,,"collect, contain, and dispose of crew bodily wastes"
S32948,mlm_tapt,spacebert_ecss,The supplier shall take the wire or cable to be submitted to this test procedure from stock with minimum handling.,take the wire or cable to be submitted to this test procedure from stock with minimum handling,yes,,yes,,take the wire or cable to be submitted to this test procedure from stock with minimum handling
S32987,mlm_tapt,2011_dot_WEB,The Core2Core Subsystem shall transition to degraded mode of operations when a software failure within the Core2Core Subsystem is detected.,transition to degraded mode of operations when a software failure within the Core2Core Subsystem is detected,yes,,yes,,transition to degraded mode of operations when a software failure within the Core2Core Subsystem is detected
S33362,mlm_tapt,2019_gateway_WEB,The Gateway shall provide crew displays and controls that are operable by a crewmember from within any habitable environment.,provide crew displays and controls that are operable by a crewmember from within any habitable environment,yes,,yes,,provide crew displays and controls that are operable by a crewmember from within any habitable environment
S33525,mlm_tapt,2005_wise_mos_WEB,The MOS shall participate in at least one major spacecraft operational test performed at the launch site.,participate in at least one major spacecraft operational test performed at the launch site,yes,,yes,,participate in at least one major spacecraft operational test performed at the launch site
S33708,mlm_tapt,0000_mss_WEB,Radio terminals offered must feature a dedicated on/off key.,feature a dedicated on/off key,yes,,yes,,feature a dedicated on/off key
S34050,mlm_tapt,2012_marcopolo_WEB,The S/C shall be able to receive a TC from the ground to switch from Collision Avoidance Mode to Safe Mode.,receive a TC from the ground to switch from Collision Avoidance Mode to Safe Mode,yes,,yes,,receive a TC from the ground to switch from Collision Avoidance Mode to Safe Mode
S34346,mlm_tapt,2011_dot_WEB,The Service Monitor Subsystem shall add hardware components by an authorized System Operator upon request,add hardware components by an authorized System Operator upon request,yes,,yes,,allow an authorized System Operator to add hardware components upon request
S34869,mlm_tapt,2021_jpss2_web,"The X-band HRD interface shall have a modulation of OQPSK, with alternating bits on I and Q.","have a modulation of OQPSK, with alternating bits on I and Q",yes,,yes,,provide an X-band HRD interface with OQPSK modulation and alternating bits on I and Q
S35434,mlm_tapt,2008_earthcare_web,The number of BBR modes and on-board correction functions shall be kept to the strict minimum required to meet the requirements.,be kept to the strict minimum required to meet the requirements,yes,,yes,,keep the number of BBR modes and on-board correction functions to the strict minimum needed to meet the requirements
S35918,mlm_tapt,2004_hp_srs_web,A frequency control plan shall be established and maintained as part of the EMC programme.,be established and maintained as part of the EMC programme,yes,,yes,,establish and maintain a frequency control plan as part of the EMC programme
S36404,mlm_tapt,2009_gg_WEB,"The spacecraft shall have the capability to handle all the telecommands received from ground, transmit them to the payload instrument and send back all acknowledgments for ground control.","have the capability to handle all the telecommands received from ground, transmit them to the payload instrument and send back all acknowledgments for ground control",yes,,yes,,"handle all telecommands received from ground, transmit them to the payload instrument, and send back all acknowledgments for ground control"
S36535,mlm_tapt,2013_echo_mrd_WEB,"For design and analysis purposes, an average of 2 safe mode events of 2 days (plus recovery time) each per year shall be considered.",be considered,yes,,yes,,use an average of 2 safe mode events of 2 days plus recovery time each per year for design and analysis purposes
S36919,mlm_tapt,2015_due_web,The GBPS shall integrate the GB processors for retrieval.,integrate the GB processors for retrieval,yes,,yes,,integrate the GB processors for retrieval
S37331,mlm_tapt,2009_spica_srd_WEB,The SPICA telescope shall be an aperture as large as possible which is compatible with the launch fairing.,be an aperture as large as possible which is compatible with the launch fairing,yes,,yes,,provide a SPICA telescope aperture as large as possible while remaining compatible with the launch fairing
S37725,mlm_tapt,2015_due_web,The structure shall allow to keep several versions of outputs at the same time.,allow to keep several versions of outputs at the same time,yes,,yes,,allow several versions of outputs to be kept at the same time
S37805,mlm_tapt,2021_tmt_srd_WEB,The site shall have minimal seasonal temperature variations.,have minimal seasonal temperature variations,yes,,yes,,be located at a site with minimal seasonal temperature variations
S37977,mlm_tapt,2021_tmt_srd_WEB,The observatory shall observe anywhere on the sky from 1° to 65° zenith angle.,observe anywhere on the sky from 1° to 65° zenith angle,yes,,yes,,observe anywhere on the sky from 1° to 65° zenith angle
S38042,mlm_tapt,2015_due_web,The product generation module shall include a converter to derive AGB from GSV.,include a converter to derive AGB from GSV,yes,,yes,,include a converter to derive AGB from GSV
S38085,mlm_tapt,2003_hp_ird_web,The procedures presented in the SUM shall be validated at S/C system and subsystem level testing.,be validated at S/C system and subsystem level testing,yes,,yes,,validate the procedures presented in the SUM at S/C system and subsystem level testing
S38687,mlm_tapt,2021_tmt_ord_WEB,The TMT Observatory shall execute service observing on behalf of PIs from a combined list of observing blocks from all partners via a scheduling process over six month periods.,execute service observing on behalf of PIs from a combined list of observing blocks from all partners via a scheduling process over six month periods,yes,,yes,,execute service observing on behalf of PIs from a combined list of observing blocks from all partners via a scheduling process over six month periods
S38831,mlm_tapt,2007_jwst_mrd_web,The operational JWST System shall be in continuous two-way communication from separation from the upper stage of the launch vehicle until the completion of Observatory Primary Mirror Phasing activities.,be in continuous two-way communication from separation from the upper stage of the launch vehicle until the completion of Observatory Primary Mirror Phasing activities,yes,,yes,,be in continuous two-way communication from separation from the upper stage of the launch vehicle until the completion of Observatory Primary Mirror Phasing activities
S38968,mlm_tapt,2021_jpss2_web,Milliseconds of day shall be an unsigned 32-bit integer of the number of milliseconds since midnight UTC of the current day.,be an unsigned 32-bit integer of the number of milliseconds since midnight UTC of the current day,yes,,yes,,represent milliseconds of day as an unsigned 32-bit integer equal to the number of milliseconds since midnight UTC of the current day
S39040,mlm_tapt,1998_grace_WEB,The KBR shall be designed to reject multipath from the satellite to better than -56 dB relative to the direct signal.,be designed to reject multipath from the satellite to better than -56 dB relative to the direct signal,yes,,yes,,reject multipath from the satellite to better than -56 dB relative to the direct signal
