seed_id,source_dataset,original_requirement,capability_text_auto,auto_include,auto_exclusion_reason,include,exclusion_reason,capability_text_final
S0261,NICE,'The system shall generate an audit report based on the available recycled parts and the collision estimate.',generate an audit report based on the available recycled parts and the collision estimate,yes,,yes,,generate an audit report based on the available recycled parts and the collision estimate
S0262,NICE,'The audit report shall include the total number of recycled parts used in the estimate.',include the total number of recycled parts used in the estimate,yes,,yes,,"include, in the audit report, the total number of recycled parts used in the estimate"
S0263,NICE,'The audit report shall include the number of available recycled parts from the original search results.',include the number of available recycled parts from the original search results,yes,,yes,,"include, in the audit report, the number of available recycled parts from the original search results"
S0264,NICE,'The audit report shall include the percentage of available recycled parts used in the estimate ',include the percentage of available recycled parts used in the estimate,yes,,yes,,"include, in the audit report, the percentage of available recycled parts used in the estimate"
S0265,NICE,'The audit report shall include the total score of the audit which sums the indivual line items.',include the total score of the audit which sums the indivual line items,yes,,yes,,"include, in the audit report, the total score of the audit, which sums the individual line items"
S0266,NICE,'The audit report shall be displayed to the user.',be displayed to the user,yes,,yes,,display the audit report to the user
S0267,NICE,'The audit report shall be available to other adjusters at later points in time.',be available to other adjusters at later points in time,yes,,yes,,make the audit report available to other adjusters at later points in time
S0268,NICE,'The user shall select to view the preferred repair facility ratings.',select to view the preferred repair facility ratings,yes,,yes,,allow the user to choose to view the preferred repair facility ratings
S0269,NICE,'The current repair facility ratings shall be displayed to the user.',be displayed to the user,yes,,yes,,display the current repair facility ratings to the user
S0271,NICE,'The user shall enter new ratings based on the audit report',enter new ratings based on the audit report,yes,,yes,,allow the user to enter new ratings based on the audit report
S0273,NICE,'The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts',include categories for attempted use of recycled parts and actual use of recycled parts,yes,,yes,,"include, in the ratings, categories for attempted use of recycled parts and actual use of recycled parts"
S0274,NICE,'The user shall select to save the preferred repair facility ratings.',select to save the preferred repair facility ratings,yes,,yes,,allow the user to choose to save the preferred repair facility ratings
S0275,NICE,'The preferred repair facility ratings shall be saved by the system.',be saved by the system,yes,,yes,,save the preferred repair facility ratings
