seed_id,source_dataset,original_requirement,capability_text_auto,auto_include,auto_exclusion_reason,include,exclusion_reason,capability_text_final
S0149,NICE,'All screens created as part of the Disputes application must comply with corporate standards for interface creation.',comply with corporate standards for interface creation,yes,,yes,,ensure all Disputes application screens comply with corporate interface creation standards
S0150,NICE,'The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.',be color coded for easy identification of dispute cases based upon the dispute case status,yes,,yes,,color-code dispute search results by dispute case status for easy identification
S0151,NICE,'100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.',% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course,no,formula_or_symbol;residual_modal_in_capability,no,formula_or_symbol;residual_modal_in_capability,
S0152,NICE,'100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.',% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course,no,formula_or_symbol;residual_modal_in_capability,no,formula_or_symbol;residual_modal_in_capability,
S0153,NICE,'100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.',% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course,no,formula_or_symbol;residual_modal_in_capability,no,formula_or_symbol;residual_modal_in_capability,
S0154,NICE,'The maximum wait time for a user navigating from one screen to another within the Disputes application shall be no more than 5 seconds.',be no more than 5 seconds,no,negation,no,negation,
S0155,NICE,'The Disputes application shall support 350 concurrent users without any degradation of performance in the application.',support 350 concurrent users without any degradation of performance in the application,no,negation,no,negation,
S0156,NICE,'The Disputes application shall be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday â€“ Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST',be available 24x7x365 with the exception of the following scheduled maintenance windows. Monday â€“ Saturday 3:00am to 4:00am EST Sunday 1:00amd to 5:00am EST,no,multi_sentence,no,multi_sentence,
S0157,NICE,'The Disputes application shall interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database',interface with the Statement Database. The Statement Database provides the transaction details to the Disputes System. All transaction details must be obtained from the Statement Database,no,multi_sentence;residual_modal_in_capability,no,multi_sentence;residual_modal_in_capability,
S0158,NICE,'The Disputes application shall interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database.',interface with the Cardmember Information Database. The Cardmember Information Database provides detailed information with regard to a cardmember. All cardmember detail information must be obtained from the Cardmember Information Database,no,multi_sentence;residual_modal_in_capability,no,multi_sentence;residual_modal_in_capability,
S0159,NICE,'The Disputes applications shall interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.',interface with the Merchant Information Database. The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database,no,multi_sentence;residual_modal_in_capability,no,multi_sentence;residual_modal_in_capability,
S0160,NICE,'The Disputes application shall interface with the Letters application. This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.',interface with the Letters application. This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application,no,too_long;multi_sentence;residual_modal_in_capability,no,too_long;multi_sentence;residual_modal_in_capability,
S0161,NICE,The Disputes application shall interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchant's accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.',interface with the Cardmember Posting and Billing System. This will allow the Disputes application to request adjustments to cardmember and merchant's accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System,no,too_long;multi_sentence;possibly_multiple_capabilities;residual_modal_in_capability,no,too_long;multi_sentence;possibly_multiple_capabilities;residual_modal_in_capability,
S0162,NICE,'The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.',ensure that only users with the appropriate access level are allowed to initiate dispute requests,yes,,yes,,allow only users with the appropriate access level to initiate dispute requests
S0163,NICE,'Only users with Update access must be able to initiate dispute requests.',initiate dispute requests,yes,,yes,,allow only users with Update access to initiate dispute requests
S0164,NICE,'The Disputes application shall ensure that only authorized users are allowed to logon to the application.',ensure that only authorized users are allowed to logon to the application,yes,,yes,,allow only authorized users to log on to the application
S0165,NICE,'All authorized users once authenticated must be able to logon to the Disputes System',logon to the Disputes System,yes,,yes,,allow authenticated authorized users to log on to the Disputes System
S0166,NICE,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user's access level. The report will be reviewed for auditing purposes.',generate a User Report that details any new users that have been added and any changes to an existing user's access level. The report will be reviewed for auditing purposes,no,multi_sentence;residual_modal_in_capability,no,multi_sentence;residual_modal_in_capability,
S0167,NICE,All additions of new users and modifications to user's access shall be recorded on the User Report.',be recorded on the User Report,yes,,yes,,record new-user additions and user-access modifications on the User Report
S0168,NICE,'If a user account is revoked it can only be re-instantiated by the System Administrator.',only be re-instantiated by the System Administrator,yes,,yes,,allow only the System Administrator to reinstate revoked user accounts
S0169,NICE,'Only the System Administrator shall be able to reset a revoked user logon account',reset a revoked user logon account,yes,,yes,,allow only the System Administrator to reset revoked user logon accounts
S0170,NICE,'The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.',manipulate and view business data. Users will not have direct access to data files or databases,no,multi_sentence;negation;possibly_multiple_capabilities;residual_modal_in_capability,no,multi_sentence;negation;possibly_multiple_capabilities;residual_modal_in_capability,
S0171,NICE,'All updates to data files or database must be initiated from the Disputes System.',be initiated from the Disputes System,yes,,yes,,ensure all data file or database updates are initiated from the Disputes System
S0172,NICE,'The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.',conform to the legal requirements as specified by the Merchant Operating Regulations,yes,,yes,,conform to the legal requirements specified by the Merchant Operating Regulations
S0173,NICE,'All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.',be in compliance with the Merchant Operating Regulations,yes,,yes,,ensure Disputes System business rules comply with Merchant Operating Regulations
S0174,NICE,'The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.',conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing,yes,,yes,,conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing
S0175,NICE,'All business rules specified in the Disputes System shall be in compliance to the guidelines of Regulation E and Regulation Z.',be in compliance to the guidelines of Regulation E and Regulation Z,yes,,yes,,keep all business rules specified in the Disputes System in compliance with the guidelines of Regulation E and Regulation Z
S0176,NICE,'The Disputes application must maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case.',maintain a detailed history of every action that a user takes on a dispute case. This ensures a complete audit trail if questions arise later on with regard to a particular dispute case,no,too_long;multi_sentence,no,too_long;multi_sentence,
S0177,NICE,'All actions that modify an existing dispute case must be recorded in the case history.',be recorded in the case history,yes,,yes,,record all actions that modify an existing dispute case in the case history
S0178,NICE,'The Disputes System must be accessible by both internal and external users.',be accessible by both internal and external users,yes,,yes,,be accessible by both internal and external users
S0179,NICE,'The Disputes System must prevent users from accessing any dispute cases that do not belong to their cardholder base.',prevent users from accessing any dispute cases that do not belong to their cardholder base,no,negation,no,negation,
S0180,NICE,'The Disputes System will facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users.',facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users,yes,,yes,,facilitate direct data entry of a dispute case via a user interface that supports real time responses to the users
S0181,NICE,'The Disputes System must provide different levels of access with regard to disputes case initiation and follow-up actions.',provide different levels of access with regard to disputes case initiation and follow-up actions,yes,,yes,,provide different levels of access with regard to disputes case initiation and follow-up actions
S0182,NICE,'The Disputes System shall provide view access capability for authorized users of the application.',provide view access capability for authorized users of the application,yes,,yes,,provide view access capability for authorized users of the application
S0183,NICE,'The Disputes System shall provide update access capability for authorized users of the application.',provide update access capability for authorized users of the application,yes,,yes,,provide update access capability for authorized users of the application
S0184,NICE,'The Disputes System must allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction.',allow the users to select disputable transactions (based on the age of the transaction) from a user interface and initiate a dispute (ticket retrieval request or chargeback notification) on the selected transaction,no,too_long;possibly_multiple_capabilities,no,too_long;possibly_multiple_capabilities,
S0185,NICE,'The Disputes System must provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant.',provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant,yes,,yes,,provide the user the ability to initiate a single dispute case on multiple transactions that belong to a single merchant
S0186,NICE,'The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.',provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction,no,too_long;multi_sentence;residual_modal_in_capability,no,too_long;multi_sentence;residual_modal_in_capability,
S0187,NICE,'The Disputes System must allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt.',allow the user to create three unique types of ticket retrieval requests. The three types of ticket retrieval requests are (1) Request for original receipt (2) Request for a copy of the receipt or (3) Request for a portfolio. A portfolio consists of documentation that would provide proof of a purchase such as the documentation that is received from a car rental agency that is more than a sales receipt,no,too_long;multi_sentence,no,too_long;multi_sentence,
S0188,NICE,'The Disputes System must prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users.',prevent external users from requesting original receipts. Requests for original receipts are restricted to internal users,no,multi_sentence,no,multi_sentence,
S0189,NICE,'The Disputes System must provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number the type of retrieval requested (copy original or portfolio) and the date that the merchant response is due.',provide a confirmation to the user upon the creation of ticket retrieval request that contains the following information; the dispute case number the type of retrieval requested (copy original or portfolio) and the date that the merchant response is due,no,too_long;possibly_multiple_capabilities,no,too_long;possibly_multiple_capabilities,
S0190,NICE,'The Disputes System shall allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid.',allow the user to create or initiate a chargeback request. The system must prompt the user to enter the required information to initiate a chargeback request. The chargeback request results in a printed chargeback notification that is sent to merchant indicating that their account will be charged back if no proof is provided that the disputed transaction is valid,no,too_long;multi_sentence;negation;residual_modal_in_capability,no,too_long;multi_sentence;negation;residual_modal_in_capability,
S0191,NICE,'The Disputes System must provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number the type of chargeback requested (pending or immediate) and the date that the merchant response is due.',provide a confirmation to the user upon the creation of a chargeback request. The confirmation must contain the following information; the dispute case number the type of chargeback requested (pending or immediate) and the date that the merchant response is due,no,too_long;multi_sentence;possibly_multiple_capabilities;residual_modal_in_capability,no,too_long;multi_sentence;possibly_multiple_capabilities;residual_modal_in_capability,
S0192,NICE,'The Disputes System shall prevent the creation of duplicate dispute requests 100% of the time.',prevent the creation of duplicate dispute requests 100% of the time,no,formula_or_symbol,no,formula_or_symbol,
S0193,NICE,'The Disputes System shall accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System.',accurately provide a list of possible reason codes for a given transaction. The list of possible reason codes must be derived based on the type of transaction and the industry that the merchant belongs to according to the business rules defined for the Disputes System,no,too_long;multi_sentence;residual_modal_in_capability,no,too_long;multi_sentence;residual_modal_in_capability,
S0194,NICE,'The Disputes System must provide the ability to view existing dispute cases.',provide the ability to view existing dispute cases,yes,,yes,,provide the ability to view existing dispute cases
S0195,NICE,'The Disputes System must provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code.',provide Search functionality. The search method must include the ability to search by (1) the dispute case number (2) the merchant account number (3) the cardmember account number and (4) the issuer number. In addition to the above criteria the search functionality must further allow the user to limit the results of the search by a date range the type of dispute (ticket retrieval request or chargeback notification) the case status (open closed or all) and the dispute reason code,no,too_long;multi_sentence;possibly_multiple_capabilities;residual_modal_in_capability,no,too_long;multi_sentence;possibly_multiple_capabilities;residual_modal_in_capability,
S0196,NICE,'A list of all disputes cases that meet the entered search criteria must be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray.',be provided to the user. The list of cases must differentiate the type and/or status of the case by color -coding the line item in the list. For example all open cases will be yellow and all closed cases will be gray,no,too_long;multi_sentence;residual_modal_in_capability,no,too_long;multi_sentence;residual_modal_in_capability,
S0197,NICE,'The Disputes System shall provide the users the ability to view the history of all activities that have occurred on the dispute case.',provide the users the ability to view the history of all activities that have occurred on the dispute case,yes,,yes,,provide the users the ability to view the history of all activities that have occurred on the dispute case
S0198,NICE,'The Dispute System shall provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user.',provide the users with the ability to follow up on a dispute case via follow-up actions. The list of available follow up actions for a given dispute case must be filtered by the status of the case and the access level of the user,no,too_long;multi_sentence;residual_modal_in_capability,no,too_long;multi_sentence;residual_modal_in_capability,
S0199,NICE,'The Disputes System shall record the name of the user and the date for any activity that creates or modifies the disputes case in the system. A detailed history of the actions taken on the case including the date and the user that performed the action must be maintained for auditing purposes.',record the name of the user and the date for any activity that creates or modifies the disputes case in the system. A detailed history of the actions taken on the case including the date and the user that performed the action must be maintained for auditing purposes,no,too_long;multi_sentence;possibly_multiple_capabilities;residual_modal_in_capability,no,too_long;multi_sentence;possibly_multiple_capabilities;residual_modal_in_capability,
S0200,NICE,'For any systematic (non-user initiated) action that occurs on a case such as the disputes aging process a case activity will be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case.',be generated. Upon the next logon the user that initiated the dispute case must be notified that a systematic action has occurred on the dispute case,no,too_long;multi_sentence;residual_modal_in_capability,no,too_long;multi_sentence;residual_modal_in_capability,
S0201,NICE,'All letter requests must be formatted according to guidelines specified by the Print Letter Utility system.',be formatted according to guidelines specified by the Print Letter Utility system,yes,,yes,,format all letter requests according to guidelines specified by the Print Letter Utility system
S0202,NICE,'Any disputes cases that have been closed for over 6 months must be purged from the online disputes database.',be purged from the online disputes database,yes,,yes,,purge dispute cases that have been closed for over 6 months from the online disputes database
S0203,NICE,'The product must support Internet Explorer 5.5 and above.',support Internet Explorer 5.5 and above,no,multi_sentence,no,multi_sentence,
S0204,NICE,'The product must support Mozilla Firefox 1.0 and above.',support Mozilla Firefox 1.0 and above,no,multi_sentence,no,multi_sentence,
S0205,NICE,'The product shall interface with the Choice Parts System. This provides the feed of recycled parts data.',interface with the Choice Parts System. This provides the feed of recycled parts data,no,multi_sentence,no,multi_sentence,
S0206,NICE,'The product shall run on the existing hardware for all environments.',run on the existing hardware for all environments,yes,,yes,,run on the existing hardware for all environments
S0207,NICE,'The product shall adhere to the corporate Architecture guidelines',adhere to the corporate Architecture guidelines,yes,,yes,,adhere to the corporate Architecture guidelines
S0208,NICE,'The product shall comply with corporate User Interface Guidelines',comply with corporate User Interface Guidelines,yes,,yes,,comply with corporate User Interface Guidelines
S0209,NICE,'The product shall comply with corporate color scheme',comply with corporate color scheme,yes,,yes,,comply with corporate color scheme
S0210,NICE,'The appearance of the product shall appear professional',appear professional,yes,,yes,,appear professional
S0211,NICE,'The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.',be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use,no,multi_sentence;formula_or_symbol;possibly_multiple_capabilities;residual_modal_in_capability,no,multi_sentence;formula_or_symbol;possibly_multiple_capabilities;residual_modal_in_capability,
S0212,NICE,'The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.',increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product,no,multi_sentence;formula_or_symbol;residual_modal_in_capability,no,multi_sentence;formula_or_symbol;residual_modal_in_capability,
S0213,NICE,'Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.',feel satisfied using the product. 85% of all users will be satisfied with the product,no,multi_sentence;formula_or_symbol;residual_modal_in_capability,no,multi_sentence;formula_or_symbol;residual_modal_in_capability,
S0214,NICE,'The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training',be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training,no,multi_sentence;residual_modal_in_capability,no,multi_sentence;residual_modal_in_capability,
S0215,NICE,'The user shall easily locate instructions while using the product. User help can be found within 90% of the system.',easily locate instructions while using the product. User help can be found within 90% of the system,no,multi_sentence;formula_or_symbol;residual_modal_in_capability,no,multi_sentence;formula_or_symbol;residual_modal_in_capability,
S0216,NICE,'The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.',take no longer than 15 seconds. The search results shall be returned in under 15 seconds,no,multi_sentence;negation;residual_modal_in_capability,no,multi_sentence;negation;residual_modal_in_capability,
S0217,NICE,'The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds',take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds,no,multi_sentence;negation,no,multi_sentence;negation,
S0218,NICE,'The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.',be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds,no,multi_sentence;residual_modal_in_capability,no,multi_sentence;residual_modal_in_capability,
S0219,NICE,'The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.',be saved within 5 seconds. The save shall occur within 5 seconds,no,multi_sentence;residual_modal_in_capability,no,multi_sentence;residual_modal_in_capability,
S0220,NICE,'The product shall adhere to the corporate online availability schedule. The application is brought down only within 98% of the scheduled outages per the availability schedule.',adhere to the corporate online availability schedule. The application is brought down only within 98% of the scheduled outages per the availability schedule,no,multi_sentence;formula_or_symbol,no,multi_sentence;formula_or_symbol,
S0221,NICE,'The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.',achieve a 98% uptime. The product shall not fail more than 2% of the available online time,no,multi_sentence;negation;formula_or_symbol;residual_modal_in_capability,no,multi_sentence;negation;formula_or_symbol;residual_modal_in_capability,
S0222,NICE,'The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.',handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time,no,multi_sentence;residual_modal_in_capability,no,multi_sentence;residual_modal_in_capability,
S0223,NICE,'The average number of recycled parts records per day shall be 50 000.',be 50 000,yes,,yes,,support an average of 50 000 recycled parts records per day
S0224,NICE,'The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.',handle 10 000 concurrent users within 2 years of the initial launch,yes,,yes,,handle 10 000 concurrent users within 2 years of the initial launch
S0225,NICE,'For estimators the product shall be able to be operated in a repair facility during dirty and noisy conditions.',be operated in a repair facility during dirty and noisy conditions,yes,,yes,,be operable by estimators in a repair facility during dirty and noisy conditions
S0226,NICE,'The product shall interface with the ChoiceParts system once per day at approximately 1:00 AM.',interface with the ChoiceParts system once per day at approximately 1:00 AM,yes,,yes,,interface with the ChoiceParts system once per day at approximately 1:00 AM
S0227,NICE,'The maintenance of the product will fall within the established corporate maintenance windows.',fall within the established corporate maintenance windows,yes,,yes,,limit product maintenance to the established corporate maintenance windows
S0228,NICE,'The product shall be supported using the corporate support center.',be supported using the corporate support center,yes,,yes,,be supported using the corporate support center
S0229,NICE,'Product installations and upgrades shall be handled by the middleware technology team within established launch time frames.',be handled by the middleware technology team within established launch time frames,yes,,yes,,have product installations and upgrades handled by the middleware technology team within established launch time frames
S0230,NICE,'Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.',request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits,no,multi_sentence;negation;residual_modal_in_capability,no,multi_sentence;negation;residual_modal_in_capability,
S0231,NICE,'Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.',update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings,no,multi_sentence;negation,no,multi_sentence;negation,
S0232,NICE,'Only collision estimators shall search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts.',search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts,no,multi_sentence;negation;residual_modal_in_capability,no,multi_sentence;negation;residual_modal_in_capability,
S0233,NICE,'Only valid data shall be entered into the system. No invalid data shall be entered into the system.',be entered into the system. No invalid data shall be entered into the system,no,multi_sentence;negation;residual_modal_in_capability,no,multi_sentence;negation;residual_modal_in_capability,
S0234,NICE,'One insurance company shall not be able to view another insurance companys claim data.',not be able to view another insurance companys claim data,no,negation;residual_modal_in_capability,no,negation;residual_modal_in_capability,
S0235,NICE,'The product shall free of computer viruses.',free of computer viruses,yes,,yes,,be free of computer viruses
S0236,NICE,'The system shall prevent malicious attacks including denial of service.',prevent malicious attacks including denial of service,yes,,yes,,prevent malicious attacks including denial of service
S0237,NICE,'The product must comply with Sarbanes-Oxley.',comply with Sarbanes-Oxley,yes,,yes,,comply with Sarbanes-Oxley
S0238,NICE,'The product shall comply with the estimatics laws relating to recycled parts usage.',comply with the estimatics laws relating to recycled parts usage,yes,,yes,,comply with the estimatics laws relating to recycled parts usage
S0239,NICE,'The product shall comply with insurance regulations regarding claims processing.',comply with insurance regulations regarding claims processing,yes,,yes,,comply with insurance regulations regarding claims processing
S0240,NICE,'The user shall search for the preferred repair facility using vehicle vehicle location and radius in miles',search for the preferred repair facility using vehicle vehicle location and radius in miles,yes,,yes,,search for the preferred repair facility using vehicle vehicle location and radius in miles
S0241,NICE,'The vehicle data shall include vehicle year make and model',include vehicle year make and model,yes,,yes,,include vehicle year make and model
S0242,NICE,'The vehicle location shall include street address city state and zipcode',include street address city state and zipcode,yes,,yes,,include street address city state and zipcode
S0243,NICE,'The system shall resolve the zipcode for the street address city and state if zipcode is unknown.',resolve the zipcode for the street address city and state if zipcode is unknown,yes,,yes,,resolve the zipcode for the street address city and state if zipcode is unknown
S0244,NICE,'The search radius shall be between 1 and 30 miles',be between 1 and 30 miles,yes,,yes,,support a search radius between 1 and 30 miles
S0245,NICE,'The system shall locate the preferred repair facility with the highest ratings for the input criteria',locate the preferred repair facility with the highest ratings for the input criteria,yes,,yes,,locate the preferred repair facility with the highest ratings for the input criteria
S0246,NICE,'The adjuster shall enter the preferred repair facility on the estimate assignment.',enter the preferred repair facility on the estimate assignment,yes,,yes,,allow the adjuster to enter the preferred repair facility on the estimate assignment
S0247,NICE,'The adjuster shall be able to override the preferred repair facitlity on the estimate assignment.',override the preferred repair facitlity on the estimate assignment,yes,,yes,,allow the adjuster to override the preferred repair facility on the estimate assignment
S0248,NICE,'The preferred repair facility shall be returned to the user.',be returned to the user,yes,,yes,,return the preferred repair facility to the user
S0249,NICE,'The system shall return a list of repair facilities within the radius if the preferred repair facility cannot be determined.',return a list of repair facilities within the radius if the preferred repair facility cannot be determined,no,negation,no,negation,
S0250,NICE,'The estimator shall search for available recycled parts using damaged vehicle parts information.',search for available recycled parts using damaged vehicle parts information,yes,,yes,,search for available recycled parts using damaged vehicle parts information
S0251,NICE,'The estimator shall search for available recycled parts using a list of preferred parts suppliers.',search for available recycled parts using a list of preferred parts suppliers,yes,,yes,,search for available recycled parts using a list of preferred parts suppliers
S0252,NICE,'The system shall search for available recycled parts for the supplied vehicle parts and suppliers.',search for available recycled parts for the supplied vehicle parts and suppliers,yes,,yes,,search for available recycled parts for the supplied vehicle parts and suppliers
S0253,NICE,'The estimator shall search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers',search by zipcode with a radius of 30 miles if no parts are found for the preferred parts suppliers,no,negation,no,negation,
S0254,NICE,'The system shall retain the available recycled parts and suppliers returned from the search.',retain the available recycled parts and suppliers returned from the search,yes,,yes,,retain the available recycled parts and suppliers returned from the search
S0255,NICE,'The available recycled parts information and their suppliers shall be returned to the user.',be returned to the user,yes,,yes,,return available recycled parts information and supplier information to the user
S0256,NICE,'The estimator shall apply selected recycled parts to the collision estimate.',apply selected recycled parts to the collision estimate,yes,,yes,,apply selected recycled parts to the collision estimate
S0257,NICE,'The estimator shall not apply recycled parts to the collision estimate if no available parts are returned.',not apply recycled parts to the collision estimate if no available parts are returned,no,negation,no,negation,
S0258,NICE,'The adjuster shall review the collision estimate.',review the collision estimate,yes,,yes,,support adjuster review of the collision estimate
S0259,NICE,'The adjuster shall request a recycled parts audit of the collision estimate.',request a recycled parts audit of the collision estimate,yes,,yes,,allow the adjuster to request a recycled parts audit of the collision estimate
S0260,NICE,'The recycled parts search results provided to the estimator shall be retrieved by the system.',be retrieved by the system,yes,,yes,,retrieve the recycled parts search results provided to the estimator
S0261,NICE,'The system shall generate an audit report based on the available recycled parts and the collision estimate.',generate an audit report based on the available recycled parts and the collision estimate,yes,,yes,,generate an audit report based on the available recycled parts and the collision estimate
S0262,NICE,'The audit report shall include the total number of recycled parts used in the estimate.',include the total number of recycled parts used in the estimate,yes,,yes,,"include, in the audit report, the total number of recycled parts used in the estimate"
S0263,NICE,'The audit report shall include the number of available recycled parts from the original search results.',include the number of available recycled parts from the original search results,yes,,yes,,"include, in the audit report, the number of available recycled parts from the original search results"
S0264,NICE,'The audit report shall include the percentage of available recycled parts used in the estimate ',include the percentage of available recycled parts used in the estimate,yes,,yes,,"include, in the audit report, the percentage of available recycled parts used in the estimate"
S0265,NICE,'The audit report shall include the total score of the audit which sums the indivual line items.',include the total score of the audit which sums the indivual line items,yes,,yes,,"include, in the audit report, the total score of the audit, which sums the individual line items"
S0266,NICE,'The audit report shall be displayed to the user.',be displayed to the user,yes,,yes,,display the audit report to the user
S0267,NICE,'The audit report shall be available to other adjusters at later points in time.',be available to other adjusters at later points in time,yes,,yes,,make the audit report available to other adjusters at later points in time
S0268,NICE,'The user shall select to view the preferred repair facility ratings.',select to view the preferred repair facility ratings,yes,,yes,,allow the user to choose to view the preferred repair facility ratings
S0269,NICE,'The current repair facility ratings shall be displayed to the user.',be displayed to the user,yes,,yes,,display the current repair facility ratings to the user
S0270,NICE,'The system will display a blank set of ratings if there are not ratings yet defined.',display a blank set of ratings if there are not ratings yet defined,no,negation,no,negation,
S0271,NICE,'The user shall enter new ratings based on the audit report',enter new ratings based on the audit report,yes,,yes,,allow the user to enter new ratings based on the audit report
S0272,NICE,'The ratings shall be from a scale of 1-10',be from a scale of 1-10,no,formula_or_symbol,no,formula_or_symbol,
S0273,NICE,'The ratings shall include categories for attempted use of recycled parts and actual use of recycled parts',include categories for attempted use of recycled parts and actual use of recycled parts,yes,,yes,,"include, in the ratings, categories for attempted use of recycled parts and actual use of recycled parts"
S0274,NICE,'The user shall select to save the preferred repair facility ratings.',select to save the preferred repair facility ratings,yes,,yes,,allow the user to choose to save the preferred repair facility ratings
S0275,NICE,'The preferred repair facility ratings shall be saved by the system.',be saved by the system,yes,,yes,,save the preferred repair facility ratings
S0276,NICE,'The product must work with most database management systems (DBMS) on the market whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network.',work with most database management systems (DBMS) on the market whether the DBMS is colocated with the product on the same machine or is located on a different machine on the computer network,no,too_long,no,too_long,
